id,name,role,country,basePrice,style,photoUrl
1,Virat Kohli,Batsman,India,2,Right-hand,https://documents.iplt20.com/ipl/IPLHeadshot2025/2.png
2,Rohit Sharma,Batsman,India,2,Right-hand,https://documents.iplt20.com/ipl/IPLHeadshot2025/6.png
3,MS Dhoni,Wicket-keeper,India,2,Right-hand,https://documents.iplt20.com/ipl/IPLHeadshot2025/57.png
4,Jasprit Bumrah,Bowler,India,2,Fast,https://documents.iplt20.com/ipl/IPLHeadshot2025/9.png
5,Ravindra Jadeja,All-rounder,India,2,Left-hand/Spin,https://documents.iplt20.com/ipl/IPLHeadshot2025/46.png
6,KL Rahul,Wicket-keeper,India,2,Right-hand,https://documents.iplt20.com/ipl/IPLHeadshot2025/19.png
7,Hardik Pandya,All-rounder,India,2,Right-hand/fast,https://documents.iplt20.com/ipl/IPLHeadshot2025/54.png
8,Rishabh Pant,Wicket-keeper,India,2,Left-hand,https://documents.iplt20.com/ipl/IPLHeadshot2025/18.png
9,Shubman Gill,Batsman,India,1.5,Right-hand,https://documents.iplt20.com/ipl/IPLHeadshot2025/62.png
10,Mohammed Siraj,Bowler,India,1.5,Fast,https://documents.iplt20.com/ipl/IPLHeadshot2025/63.png
11,David Warner,Batsman,Australia,2,Left-hand,https://documents.iplt20.com/ipl/IPLHeadshot2024/214.png
12,Glenn Maxwell,All-rounder,Australia,2,Right-hand/Spin,https://documents.iplt20.com/ipl/IPLHeadshot2025/28.png
13,Pat Cummins,Bowler,Australia,2,Fast,https://documents.iplt20.com/ipl/IPLHeadshot2025/33.png
14,Mitchell Starc,Bowler,Australia,2,Fast,https://documents.iplt20.com/ipl/IPLHeadshot2025/31.png
15,Ben Stokes,All-rounder,England,2,Left-hand/fast,https://documents.iplt20.com/ipl/IPLHeadshot2023/177.png
16,Jos Buttler,Wicket-keeper,England,2,Right-hand,https://documents.iplt20.com/ipl/IPLHeadshot2025/182.png
18,Kagiso Rabada,Bowler,South Africa,2,Fast,https://documents.iplt20.com/ipl/IPLHeadshot2025/116.png
